====== Fe (3500) into Fe                        =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    = Fe   Energy = 3500  keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe
Layer Width =     2.E+04 A   Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Ion Average Range =   107.6E+02 A   Straggling =   206.9E+01 A
 Ion Lateral Range =   189.7E+01 A   Straggling =   237.5E+01 A
 Ion Radial  Range =   296.9E+01 A   Straggling =   153.5E+01 A
====================================================================
 Range Skewne- = -000.8957  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 004.2190  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH         Fe       Recoil     
600001.E-02  2.1000E+03  0.0000E+00
620001.E-02  2.4500E+03  0.0000E+00
640001.E-02  2.0500E+03  0.0000E+00
660001.E-02  2.3000E+03  0.0000E+00
680001.E-02  2.7500E+03  0.0000E+00
700001.E-02  3.0500E+03  0.0000E+00
720001.E-02  3.0500E+03  0.0000E+00
740001.E-02  3.9500E+03  0.0000E+00
760001.E-02  4.5000E+03  0.0000E+00
780001.E-02  4.2500E+03  0.0000E+00
800001.E-02  5.7000E+03  0.0000E+00
820001.E-02  6.6500E+03  0.0000E+00
840001.E-02  7.8500E+03  0.0000E+00
860001.E-02  7.5000E+03  0.0000E+00
880001.E-02  8.1000E+03  0.0000E+00
900001.E-02  9.7500E+03  0.0000E+00
920001.E-02  1.1850E+04  0.0000E+00
940001.E-02  1.0200E+04  0.0000E+00
960001.E-02  1.2050E+04  0.0000E+00
980001.E-02  1.3700E+04  0.0000E+00
100000.E-01  1.5000E+04  0.0000E+00
102000.E-01  1.5800E+04  0.0000E+00
104000.E-01  1.7150E+04  0.0000E+00
106000.E-01  1.9650E+04  0.0000E+00
108000.E-01  1.9250E+04  0.0000E+00
110000.E-01  2.1050E+04  0.0000E+00
112000.E-01  2.0550E+04  0.0000E+00
114000.E-01  2.2800E+04  0.0000E+00
116000.E-01  2.0950E+04  0.0000E+00
118000.E-01  2.0150E+04  0.0000E+00
120000.E-01  2.2250E+04  0.0000E+00
122000.E-01  2.1800E+04  0.0000E+00
124000.E-01  1.9500E+04  0.0000E+00
126000.E-01  1.8900E+04  0.0000E+00
128000.E-01  1.7400E+04  0.0000E+00
130000.E-01  1.3950E+04  0.0000E+00
132000.E-01  1.2700E+04  0.0000E+00
134000.E-01  1.2050E+04  0.0000E+00
136000.E-01  1.0400E+04  0.0000E+00
138000.E-01  7.3500E+03  0.0000E+00
140000.E-01  4.0500E+03  0.0000E+00
142000.E-01  3.9000E+03  0.0000E+00
144000.E-01  2.3500E+03  0.0000E+00
146000.E-01  1.3500E+03  0.0000E+00
148000.E-01  1.3000E+03  0.0000E+00
150000.E-01  6.5000E+02  0.0000E+00
152000.E-01  5.5000E+02  0.0000E+00
154000.E-01  2.5000E+02  0.0000E+00
156000.E-01  1.5000E+02  0.0000E+00
158000.E-01  1.0000E+02  0.0000E+00
160000.E-01  5.0000E+01  0.0000E+00
162000.E-01  0.0000E+00  0.0000E+00
164000.E-01  5.0000E+01  0.0000E+00
166000.E-01  0.0000E+00  0.0000E+00
168000.E-01  0.0000E+00  0.0000E+00
170000.E-01  0.0000E+00  0.0000E+00
172000.E-01  0.0000E+00  0.0000E+00
174000.E-01  0.0000E+00  0.0000E+00
176000.E-01  0.0000E+00  0.0000E+00
178000.E-01  0.0000E+00  0.0000E+00
180000.E-01  0.0000E+00  0.0000E+00
182000.E-01  0.0000E+00  0.0000E+00
184000.E-01  0.0000E+00  0.0000E+00
186000.E-01  0.0000E+00  0.0000E+00
188000.E-01  0.0000E+00  0.0000E+00
190000.E-01  0.0000E+00  0.0000E+00
192000.E-01  0.0000E+00  0.0000E+00
194000.E-01  0.0000E+00  0.0000E+00
196000.E-01  0.0000E+00  0.0000E+00
198000.E-01  0.0000E+00  0.0000E+00
200000.E-01  0.0000E+00  0.0000E+00
